Episode number,Directed by,Written by,Original air date,Prod. code,U.S. viewers (millions),
4,Ben Weiss,Andrew Reich & Ted Cohen,"October 17, 2002(2002-10-17)",175253,25.81[349],12.7/34[350]
5,David Schwimmer,Scott Silveri,"October 31, 2002(2002-10-31)",175255,24.46[351],11.8/32[352]
6,Kevin S. Bright,David Crane&Marta Kauffman,"November 7, 2002(2002-11-07)",175256,27.51[353],13.4/35[354]
7,Gary Halvorson,Robert Carlock,"November 14, 2002(2002-11-14)",175257,25.35[355],12.1/32[356]
8,Kevin S. Bright,Shana Goldberg-Meehan,"November 21, 2002(2002-11-21)",175258,26.76[357],12.5/32[358]
9,Ben Weiss,Mark Kunerth,"December 5, 2002(2002-12-05)",175259,25.43[359],12.1/30[360]
10,Kevin S. Bright,Doty Abrams,"December 12, 2002(2002-12-12)",175260,22.29[361],10.3/29[362]
11,Gary Halvorson,Story by: Judd RubinTeleplay by: Peter Tibbals,"January 9, 2003(2003-01-09)",175261,23.67[363],11.5/30[364]
12,Ben Weiss,Story by: Dana Klein BorkowTeleplay by: Brian Buckner & Sebastian Jones,"January 16, 2003(2003-01-16)",175262,23.66[365],11.2/29[366]
13,Gary Halvorson,Story by: Sherry Bilsing-Graham & Ellen PlummerTeleplay by: Steven Rosenhaus,"January 30, 2003(2003-01-30)",175263,25.82[367],12.2/31[368]
14,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,"February 6, 2003(2003-02-06)",175265,23.37[369],11.1/28[370]
15,Gary Halvorson,Peter Tibbals,"February 13, 2003(2003-02-13)",175264,20.85[371],9.5/27[372]
16,Gary Halvorson,Mark Kunerth,"February 20, 2003(2003-02-20)",175266,19.52[373],8.8/22[374]
17,Gary Halvorson,Story by: Robert CarlockTeleplay by: Brian Buckner & Sebastian Jones,"March 13, 2003(2003-03-13)",175267,21.00[375],10.0/27[376]
18,Gary Halvorson,Story by: Brian Buckner & Sebastian JonesTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,"April 3, 2003(2003-04-03)",175268,20.79[377],9.8/27[378]
19,Terry Hughes,Story by: Dana Klein BorkowTeleplay by: Mark Kunerth,"April 17, 2003(2003-04-17)",175269,18.24[379],8.4/26[380]
20,Sheldon Epps,Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich & Ted Cohen,"April 24, 2003(2003-04-24)",175270,20.71[381],9.9/30[382]
21,Gary Halvorson,Story by: Scott SilveriTeleplay by: Robert Carlock,"May 1, 2003(2003-05-01)",175271,19.03[383],8.7/27[384]
22,Ben Weiss,Andrew Reich & Ted Cohen,"May 8, 2003(2003-05-08)",175272,19.55[385],9.3/27[386]
23,Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,"May 15, 2003(2003-05-15)[b]",175273,25.46[387],12.4/36[388]
1,Kevin S. Bright,Andrew Reich & Ted Cohen,"September 25, 2003(2003-09-25)",176251,24.54[389],11.8/33[390]
